# step, M, T, PO, AO
0.000000000000000000e+00 2.833600210596622926e-01 3.820021773182931124e-01 3.281888004994367725e-01 8.494118560945179697e-02
1.000000000000000000e+00 2.900941896350243687e-01 3.690405183626265795e-01 3.252739137443436679e-01 8.335488736057150572e-02
2.000000000000000000e+00 2.780249511157075748e-01 3.536749464051168745e-01 3.120309538497433866e-01 7.720198002068856535e-02
3.000000000000000000e+00 2.827266679011440353e-01 3.570691886593528874e-01 3.177455674254286988e-01 8.020844694141587850e-02
4.000000000000000000e+00 2.804344989520693998e-01 3.605165101510056092e-01 3.156109466249745754e-01 7.897505296992901602e-02
5.000000000000000000e+00 2.802677894997065988e-01 3.618489187771078974e-01 3.166976139957466962e-01 7.883311719857027944e-02
6.000000000000000000e+00 2.910264485176830007e-01 3.546640911718132450e-01 3.154407617653478546e-01 7.858288684110692479e-02
7.000000000000000000e+00 2.756571503625478425e-01 3.597843371683510094e-01 3.115500625403879731e-01 7.596778855345631687e-02
8.000000000000000000e+00 2.731681896203405069e-01 3.661740132625960209e-01 3.170995152929927396e-01 7.931851842898157701e-02
9.000000000000000000e+00 2.761359992001737318e-01 3.627495056459759670e-01 3.144445567102617800e-01 7.846044912178051778e-02
1.000000000000000000e+01 2.682682887880253886e-01 3.718735280043442559e-01 3.144067918626097247e-01 7.644553461159181440e-02
1.100000000000000000e+01 2.677782577740930314e-01 3.846607322185552347e-01 3.216958323538521292e-01 8.100095431868198359e-02
1.200000000000000000e+01 2.607636800178222414e-01 3.752266989923867535e-01 3.133867817090799646e-01 7.623712661330517282e-02
1.300000000000000000e+01 2.739621007797346519e-01 3.628201022766670003e-01 3.158628653229791361e-01 7.829073390121676912e-02
1.400000000000000000e+01 2.781370687227067151e-01 3.572633634301085603e-01 3.123874662263125268e-01 7.674520339513518641e-02
1.500000000000000000e+01 2.782471207394925372e-01 3.583568270550376855e-01 3.130271978254668408e-01 7.661516708176707713e-02
1.600000000000000000e+01 2.775136664128358133e-01 3.601603024888087035e-01 3.131677664140914419e-01 7.699509805026411025e-02
1.700000000000000000e+01 2.610722061284727058e-01 3.693396976535829879e-01 3.115263233266068466e-01 7.626702001424445765e-02
1.800000000000000000e+01 2.683287705166014780e-01 3.715366892085228412e-01 3.170338566072651854e-01 7.957544280024714256e-02
1.900000000000000000e+01 2.720233640206043413e-01 3.685803349158520703e-01 3.167230749737792173e-01 7.845196171452517575e-02
2.000000000000000000e+01 2.622701921486972898e-01 3.871618259586879218e-01 3.194003440672820160e-01 7.899011526732158117e-02
2.100000000000000000e+01 2.637864645451966084e-01 3.913074256205713031e-01 3.239094824176616538e-01 8.268204758693509238e-02
2.200000000000000000e+01 2.670801835659524781e-01 3.575332453792424703e-01 3.075876657490390631e-01 7.462839934436510392e-02
2.300000000000000000e+01 2.788967216082012257e-01 3.586700584401234515e-01 3.145675218119036720e-01 7.839458703487273139e-02
2.400000000000000000e+01 2.737348736721692544e-01 3.547062654692568762e-01 3.090514815852804520e-01 7.515686114379327432e-02
2.500000000000000000e+01 2.798947685584819989e-01 3.573392766746398275e-01 3.167004823575425565e-01 8.003661719246968342e-02
2.600000000000000000e+01 2.757251991610729092e-01 3.668247735199837711e-01 3.178439134686945611e-01 7.926859670105923517e-02
2.700000000000000000e+01 2.612128502867802071e-01 3.691032129485530833e-01 3.090424915630983760e-01 7.381051282853329232e-02
2.800000000000000000e+01 2.639009528338559507e-01 3.959709864993254391e-01 3.253074150152105437e-01 8.326771175411179504e-02
2.900000000000000000e+01 2.654859335705098133e-01 3.859694743405587269e-01 3.219007389891548332e-01 8.074255678870578823e-02
3.000000000000000000e+01 2.759416664612519554e-01 3.699707287933191591e-01 3.176163847312259425e-01 7.840072694159205824e-02
3.100000000000000000e+01 2.671782888997076832e-01 3.842758748860517493e-01 3.213550977469996073e-01 8.079374913761844246e-02
3.200000000000000000e+01 2.585081346228322863e-01 3.827957312267091794e-01 3.167708649647181796e-01 7.852636575541371844e-02
3.300000000000000000e+01 2.669541749908473371e-01 3.771135100092847803e-01 3.179291872173223288e-01 7.914326030622720332e-02
3.400000000000000000e+01 2.669388888587931330e-01 3.751931722456178786e-01 3.146764878207650717e-01 7.643644253469361605e-02
3.500000000000000000e+01 2.575762818288789280e-01 3.808183242294506110e-01 3.149844262808152995e-01 7.787383713847678690e-02
3.600000000000000000e+01 2.660915023392622647e-01 3.700935251349319888e-01 3.137159099760910563e-01 7.635968394601089226e-02
3.700000000000000000e+01 2.581439785081441340e-01 3.729326855488509507e-01 3.106469009034722450e-01 7.494712578631090860e-02
3.800000000000000000e+01 2.604415402244270039e-01 3.904067215696686022e-01 3.205503772515930216e-01 7.997792696519911981e-02
3.900000000000000000e+01 2.653629879532408697e-01 3.610846832204849255e-01 3.085215670028640389e-01 7.433383276438393361e-02
4.000000000000000000e+01 2.798714551103675952e-01 3.628946870352653953e-01 3.179166441937812948e-01 8.075959064410587196e-02
4.100000000000000000e+01 2.648243700856339755e-01 3.700316724259619661e-01 3.138355047177885937e-01 7.732219280777397064e-02
4.200000000000000000e+01 2.629386736717919115e-01 3.822663421396678141e-01 3.158441585679722108e-01 7.689930043759074518e-02
4.300000000000000000e+01 2.752608400419764845e-01 3.820035838595385869e-01 3.239375050309132309e-01 8.158108584326245749e-02
4.400000000000000000e+01 2.609242488225680945e-01 3.734800208079200878e-01 3.125477001279474143e-01 7.594385466076941649e-02
4.500000000000000000e+01 2.678101746796320293e-01 3.825312087448856091e-01 3.192788756612918721e-01 7.920265425264788606e-02
4.600000000000000000e+01 2.711318779245917021e-01 3.697973754308596650e-01 3.185036626036842344e-01 8.058716183847730585e-02
4.700000000000000000e+01 2.681785360821286046e-01 3.642484718162894985e-01 3.111397724949159782e-01 7.599141951017307495e-02
