# step, M, T, PO, AO
0.000000000000000000e+00 3.038280742518698618e-01 4.370469946507657411e-01 3.424255370809584087e-01 1.800650308380744025e-01
1.000000000000000000e+00 3.368696973485426627e-01 4.093494774505913592e-01 3.514316864772415450e-01 1.907492581012625310e-01
2.000000000000000000e+00 3.312978302083214310e-01 4.118534902428688249e-01 3.614792790137012490e-01 1.997186223053155074e-01
3.000000000000000000e+00 3.213380106664059932e-01 4.322062684764620966e-01 3.521560255983379184e-01 1.851167323803279419e-01
4.000000000000000000e+00 3.352740732680438152e-01 4.054796343779313306e-01 3.589472612708490828e-01 2.008186421778379582e-01
5.000000000000000000e+00 3.455688026094827503e-01 4.253946293921733179e-01 3.683091505212146566e-01 1.984242693880298725e-01
6.000000000000000000e+00 3.433898302861608798e-01 4.080603465534872742e-01 3.553726322130732473e-01 1.928370875256289474e-01
7.000000000000000000e+00 3.511622125920817461e-01 4.178124946380628035e-01 3.681603006711308135e-01 2.020893765336481129e-01
8.000000000000000000e+00 3.452182739952198709e-01 3.984579460877377133e-01 3.656093103696155255e-01 2.055517937740553580e-01
9.000000000000000000e+00 3.242455404322709955e-01 4.209018282583596449e-01 3.488663115770970213e-01 1.801128247465726973e-01
1.000000000000000000e+01 3.304297775643562085e-01 4.031918242921320172e-01 3.506980898897777976e-01 1.895396797069620609e-01
1.100000000000000000e+01 3.292026165538654014e-01 4.179409945284158767e-01 3.522802364561437027e-01 1.881995556509114542e-01
1.200000000000000000e+01 3.453550114798366044e-01 4.012844748714010090e-01 3.498218650329840695e-01 1.907559794925284269e-01
1.300000000000000000e+01 3.344391393085980324e-01 4.079336275255097677e-01 3.474534256940421395e-01 1.896543155776800882e-01
1.400000000000000000e+01 3.341480250758889214e-01 4.037350369724346244e-01 3.583908406612327235e-01 1.966152941552038458e-01
1.500000000000000000e+01 3.346385373906977656e-01 4.013942088562836852e-01 3.402733409121706520e-01 1.855715760256895774e-01
1.600000000000000000e+01 3.150448266525993635e-01 3.950637757406651462e-01 3.369546978510912227e-01 1.821962992458075470e-01
1.700000000000000000e+01 3.281260285900257090e-01 3.972545094157357015e-01 3.337011901701948946e-01 1.814479926133352738e-01
1.800000000000000000e+01 3.351464541480836390e-01 3.926390126657114954e-01 3.613263424279190561e-01 2.109287025691812256e-01
1.900000000000000000e+01 3.306884103220100179e-01 3.997652602388878651e-01 3.533814731631972350e-01 1.940364800270479861e-01
2.000000000000000000e+01 3.071469917337062983e-01 4.215552423271908822e-01 3.436906447599535896e-01 1.797110235616763418e-01
