# step, M, T, PO, AO
0.000000000000000000e+00 2.865695489972968080e-01 3.791331905988918338e-01 3.300357687457790012e-01 8.554006854083390232e-02
1.000000000000000000e+00 2.975961181339729089e-01 3.812978949263202133e-01 3.342624900102009189e-01 8.773916445513946227e-02
2.000000000000000000e+00 2.882195396704979595e-01 3.547924836339687582e-01 3.160172701476225976e-01 7.923080314132913138e-02
3.000000000000000000e+00 2.960088829553669809e-01 3.727478692094698953e-01 3.310553345696581329e-01 8.674632421618405642e-02
4.000000000000000000e+00 3.020095868890356750e-01 3.603363254034834817e-01 3.274244164706319737e-01 8.615045570908297368e-02
5.000000000000000000e+00 2.883760386027537370e-01 3.604148735784008517e-01 3.195982362426478263e-01 8.081007941162243746e-02
6.000000000000000000e+00 2.953259116631207215e-01 3.599154956885272094e-01 3.244266839268760139e-01 8.513056983015143686e-02
7.000000000000000000e+00 2.922479462359116598e-01 3.655379505867412671e-01 3.243751402753918267e-01 8.290482090789408343e-02
8.000000000000000000e+00 2.781652059286804368e-01 3.682549687152838480e-01 3.196924876314484187e-01 8.076473562253339011e-02
9.000000000000000000e+00 2.775489239311227374e-01 3.634611782017329595e-01 3.162402547259421937e-01 7.802584701843534587e-02
1.000000000000000000e+01 2.907009490011621677e-01 3.707325029724476417e-01 3.255351067621399253e-01 8.308181103446443672e-02
1.100000000000000000e+01 2.918177765346733898e-01 3.687149389285270251e-01 3.268362960518832461e-01 8.455908478422197172e-02
1.200000000000000000e+01 2.903400210428243033e-01 3.719587575918361644e-01 3.262597591159659416e-01 8.308550452510438111e-02
1.300000000000000000e+01 2.910828102867027423e-01 3.686713930223848856e-01 3.246225031155962615e-01 8.434161928164463085e-02
1.400000000000000000e+01 2.894181583950506953e-01 3.566091035309969515e-01 3.204580167427519832e-01 8.160463999722977757e-02
1.500000000000000000e+01 2.997499013179965033e-01 3.674661493935921230e-01 3.328370307007935125e-01 8.982853126603496108e-02
1.600000000000000000e+01 2.993587255117000634e-01 3.672476718089612846e-01 3.284286920839885049e-01 8.502158788066005446e-02
1.700000000000000000e+01 2.961330095197534096e-01 3.593969824554336112e-01 3.222727777851650544e-01 8.229880260201727360e-02
1.800000000000000000e+01 2.852190895148983274e-01 3.609591707093185997e-01 3.174964426063840994e-01 7.890594961926383766e-02
1.900000000000000000e+01 2.878726413379354421e-01 3.531321276180567903e-01 3.160823910900172340e-01 7.929245722384326012e-02
2.000000000000000000e+01 2.962482807710192789e-01 3.596301859565527170e-01 3.239785665984922236e-01 8.404890123150721148e-02
2.100000000000000000e+01 2.896687976334948456e-01 3.550091634079016734e-01 3.187779424369676651e-01 8.295981844425520668e-02
2.200000000000000000e+01 2.971891126986294651e-01 3.529014625952441864e-01 3.194371549925997256e-01 8.197469979803623241e-02
